title,sold_price,date_sold
"Vintage Harley Davidson Black Voodoo New Orleans French Quarter T Shirt XL",24.00,2026-04-07
"Vintage Harley Davidson Black Oregon Motorcycle T Shirt Large",25.00,2026-04-07
"Vintage 90s Harley Davidson Sturgis 1995 Single Stitch T Shirt XL",29.99,2026-04-07
"Vintage Harley Davidson Black 90s Faded Shield 1995 Motorcycle Biker XL",50.96,2026-04-07
"Vintage 2000s Y2K Faded Lightning Harley Davidson Shirt XL",29.95,2026-04-06
"Vintage Harley Davidson Tie Dye Tank Top XL Made in USA",22.00,2026-04-06
"Vintage Harley Davidson Chrome Sweet Chrome Long Sleeve Arizona XL Shirt REPRINT",69.00,2026-04-06
"Vintage 90s Harley Davidson Thunder Eagle Graphic T Shirt XL Made in USA",34.00,2026-04-06
"Vintage 1990s Harley Davidson Long Sleeve Flame Print Tee Large",150.00,2026-04-06
"Vintage Harley Davidson Eagle Dragon Graphic Holoubek 1986 Medium",65.00,2026-04-06
"Vintage Harley Davidson 1999 Love Ride Glendale CA T Shirt Large",65.00,2026-04-06
"Vintage 1990 Harley Davidson Older Is Better Bridgeport CT XXL",35.00,2026-04-06
"Vintage Harley Davidson Orange Skull Cutoff Muscle Tee XL Y2K",11.99,2026-04-06
"Vintage 3D Emblem Harley Davidson T Shirt Small",115.00,2026-04-06
"Harley Davidson Flames Wings Shirt Mens XL Black USA Y2K",28.89,2026-04-06
"Vintage 90s Harley Davidson Eagle Black Long Sleeve Thermal T Shirt Large",68.00,2026-04-06
"Lot 4 Vintage Harley Davidson T Shirt Men M L Graphic Logo Biker USA Vegas",69.99,2026-04-06
"Vintage Harley Davidson Surf Bike Week Daytona Beach XL 1995",69.99,2026-04-06
"Vintage 1989 Harley Davidson Holoubek Dragon T Shirt 2XL",149.99,2026-04-06
"Vintage 1995 Harley Davidson Dragon T Shirt Large Made in USA",150.00,2026-04-06
"Vintage 1994 Harley Davidson Rock N Roll Legend Single Stitch XL",34.99,2026-04-06
"Vintage Harley Davidson 1994 Sturgis Black Hills Rally T Shirt XL",32.00,2026-04-06
"Vintage Y2K Harley Davidson Looney Tunes Black T Shirt XL Made in USA",19.99,2026-04-06
"Vintage 90s Harley Davidson Motorcycle T Shirt L Doesnt Make Me A Bad Guy",29.99,2026-04-06
"Vintage 1991 Harley Davidson Chicago Illinois Womens Black Shirt Medium",16.19,2026-04-06
"Vintage 90s Harley Davidson Sturgis Rally 1990 50th Anniversary XL",32.49,2026-04-06
"Vintage Harley Davidson Shirt Mens 2XL Black Flames Las Vegas Motorcycle",17.42,2026-04-06
"Vintage Harley Davidson Las Vegas Long Sleeve Shirt Black Flaming Dice Cards XL",39.99,2026-04-06
"Vintage Harley Davidson Oversized Shirt Cream White Mens XL",28.00,2026-04-06
"Vintage Harley Davidson Chrome Fever Seattle XL Y2K",34.99,2026-04-06
"Vintage 1980s Harley Davidson Black T Shirt Mens Size M Made in USA",48.99,2026-04-06
"Vintage Harley Davidson Mens Crew Neck Biker 90s Tee Shirt Black XL",168.75,2026-04-06
"Vintage Harley Davidson T Shirt Mens XL Black Double Sided American Flag Girl",23.99,2026-04-06
"Vintage Harley Davidson Long Sleeve Shirt XL Blue Pocket Tee 2002 Y2K",29.99,2026-04-06
"Vintage Harley Davidson 2007 Cut Off T Shirt XL Great Falls Montana",19.59,2026-04-06
"Vintage Harley Davidson Shirt Mens XL Older Is Better Gulf Coast Biloxi MS 90s",27.99,2026-04-06
"Harley Davidson Vintage Y2K Motorcycle Patent Graphic Tee Medium Bellevue WA",24.00,2026-04-06
"Vintage Harley Davidson Gargoyle Heritage Flames Black T Shirt Large",49.99,2026-04-06
"Harley Davidson Mens Vintage Graphic T Shirt 2XL Sturgis Rally",14.00,2026-04-06
"Vintage 80s Harley Davidson Large Shirt Screaming Eagle Single Stitch",34.99,2026-04-06
"Vintage 1993 Harley Davidson 90th Anniversary Single Stitch Black T Shirt XL",45.00,2026-04-06
"Harley Davidson 3D Emblem Shirt XL 1986 Born In The USA",270.00,2026-04-06
"Vintage Harley Davidson Pacific Honolulu Hawaii Single Stitch T Shirt 1993 Large",27.77,2026-04-06
"Vintage Harley Davidson Rolling Thunder Large Graphic T Shirt",29.99,2025-09-24
"Vintage Harley Davidson Route 66 Stars and Stripes Single Stitch 90s",20.00,2026-04-06
"Vintage Harley Davidson Black Dragon Wings Flame Biker Motorcycle Shirt Large",28.88,2026-04-06
"Vintage Harley Davidson Skeleton Grey Cut Up Sleeve Shirt Mens",14.99,2026-04-06
